threshold,sensitivity,specificity,precision,f1,youden
0.8712121212121212,0.93359375,0.98125,0.987603305785124,0.9598393574297189,0.91484375
0.8761616161616161,0.93359375,0.98125,0.987603305785124,0.9598393574297189,0.91484375
0.8811111111111111,0.93359375,0.98125,0.987603305785124,0.9598393574297189,0.91484375
0.886060606060606,0.93359375,0.98125,0.987603305785124,0.9598393574297189,0.91484375
0.891010101010101,0.93359375,0.98125,0.987603305785124,0.9598393574297189,0.91484375
0.895959595959596,0.93359375,0.98125,0.987603305785124,0.9598393574297189,0.91484375
0.9009090909090909,0.93359375,0.98125,0.987603305785124,0.9598393574297189,0.91484375
0.9058585858585858,0.93359375,0.98125,0.987603305785124,0.9598393574297189,0.91484375
0.9108080808080807,0.91796875,0.98125,0.9873949579831933,0.951417004048583,0.89921875
0.9157575757575758,0.91796875,0.98125,0.9873949579831933,0.951417004048583,0.89921875
0.9207070707070707,0.9140625,0.98125,0.9873417721518988,0.9492900608519271,0.8953125
0.9256565656565656,0.9140625,0.98125,0.9873417721518988,0.9492900608519271,0.8953125
0.9306060606060605,0.9140625,0.98125,0.9873417721518988,0.9492900608519271,0.8953125
0.9355555555555555,0.9140625,0.98125,0.9873417721518988,0.9492900608519271,0.8953125
0.9405050505050505,0.9140625,0.98125,0.9873417721518988,0.9492900608519271,0.8953125
0.9454545454545454,0.9140625,0.98125,0.9873417721518988,0.9492900608519271,0.8953125
0.9504040404040404,0.9140625,0.98125,0.9873417721518988,0.9492900608519271,0.8953125
0.9553535353535353,0.9140625,0.98125,0.9873417721518988,0.9492900608519271,0.8953125
0.9603030303030302,0.9140625,0.98125,0.9873417721518988,0.9492900608519271,0.8953125
0.9652525252525253,0.8671875,0.98125,0.9866666666666667,0.923076923076923,0.8484375
0.9702020202020202,0.859375,0.98125,0.9865470852017937,0.918580375782881,0.840625
0.9751515151515151,0.859375,0.98125,0.9865470852017937,0.918580375782881,0.840625
0.98010101010101,0.859375,0.98125,0.9865470852017937,0.918580375782881,0.840625
0.9850505050505051,0.859375,0.98125,0.9865470852017937,0.918580375782881,0.840625
0.99,0.859375,0.98125,0.9865470852017937,0.918580375782881,0.840625
